marque,modele,marque_et_modele,boite_vitesse,couleur,critair,categorie,cylindree,kilometrage,nb_places,nb_portes,nb_vitesses,puissance_fiscale,puissance_physique,carburant,annee,nb_roues_motrices,prix
peugeot,208,peugeot 208,automatique,Noir,niveau 0,citadine,0,22687,5,5,1,4,136,electrique,2021,2 roues motrices,23489
citroën,c3,citroën c3,manuelle,Blanc,niveau 1,citadine,1199,23657,5,5,5,4,83,essence,2021,2 roues motrices,13789
citroën,c3,citroën c3,manuelle,Blanc,niveau 1,citadine,1199,29060,5,5,5,4,83,essence,2021,2 roues motrices,13489
citroën,c3,citroën c3,manuelle,Blanc,niveau 1,citadine,1199,26679,5,5,5,4,83,essence,2020,2 roues motrices,13489
peugeot,208,peugeot 208,manuelle,Gris,niveau 1,citadine,1199,15751,5,5,5,4,75,essence,2020,2 roues motrices,14489
citroën,c3,citroën c3,manuelle,Blanc,niveau 1,citadine,1199,21170,5,5,5,4,83,essence,2021,2 roues motrices,13489
citroën,c3,citroën c3,manuelle,Blanc,niveau 1,citadine,1199,12138,5,5,5,4,83,essence,2020,2 roues motrices,13489
citroën,c3,citroën c3,manuelle,Blanc,niveau 1,citadine,1199,11317,5,5,5,4,83,essence,2020,2 roues motrices,13489
citroën,c3,citroën c3,manuelle,Blanc,niveau 1,citadine,1199,17108,5,5,5,4,83,essence,2020,2 roues motrices,13789
citroën,c3,citroën c3,manuelle,Blanc,niveau 1,citadine,1199,20632,5,5,5,4,83,essence,2020,2 roues motrices,13689
citroën,c3,citroën c3,manuelle,Blanc,niveau 1,citadine,1199,20370,5,5,5,4,83,essence,2021,2 roues motrices,13489
citroën,c3,citroën c3,manuelle,Blanc,niveau 1,citadine,1199,36915,5,5,5,4,83,essence,2020,2 roues motrices,12889
peugeot,2008,peugeot 2008,manuelle,Orange,niveau 1,suv-4x4,1199,26260,5,5,6,5,100,essence,2020,2 roues motrices,17889
citroën,c5 x,citroën c5 x,automatique,Gris,niveau 1,berline,1598,4224,5,5,8,10,181,essence,2022,2 roues motrices,30789
peugeot,3008,peugeot 3008,manuelle,Noir,niveau 2,suv-4x4,1499,16211,5,5,6,7,130,diesel,2022,2 roues motrices,32850
opel,corsa,opel corsa,manuelle,Gris,niveau 1,citadine,1398,73039,5,5,5,5,90,essence,2019,2 roues motrices,11889
peugeot,3008,peugeot 3008,manuelle,Gris,niveau 1,suv-4x4,1199,16861,5,5,6,7,130,essence,2023,2 roues motrices,30700
citroën,c3,citroën c3,manuelle,Blanc,niveau 1,citadine,1199,15432,5,5,5,4,82,essence,2018,2 roues motrices,12789
peugeot,2008,peugeot 2008,manuelle,Gris,niveau 1,suv-4x4,1199,62871,5,5,6,5,110,essence,2019,2 roues motrices,14789
citroën,c5 aircross,citroën c5 aircross,automatique,Blanc,niveau 1,suv-4x4,1199,5954,5,5,8,7,131,essence,2023,2 roues motrices,34750
fiat,500,fiat 500,automatique,Blanc,niveau 0,citadine,0,28649,4,3,1,3,118,electrique,2021,2 roues motrices,19589
fiat,500,fiat 500,manuelle,Rouge,niveau 1,citadine,1242,22863,4,2,5,4,69,essence,2018,2 roues motrices,13489
peugeot,3008,peugeot 3008,manuelle,Gris,niveau 1,suv-4x4,1199,22101,5,5,6,7,130,essence,2023,2 roues motrices,30550
citroën,c5 aircross,citroën c5 aircross,manuelle,Gris,niveau 1,suv-4x4,1199,30569,5,5,6,7,131,essence,2019,2 roues motrices,23289
citroën,c3,citroën c3,manuelle,Blanc,niveau 1,citadine,1199,7222,5,5,5,4,83,essence,2021,2 roues motrices,14789
citroën,c3,citroën c3,manuelle,Blanc,niveau 1,citadine,1199,19591,5,5,5,4,83,essence,2021,2 roues motrices,13689
opel,grandland,opel grandland,automatique,Gris,niveau 1,suv-4x4,1598,40654,5,5,8,11,200,hybride rechargeable,2021,4 roues motrices,26989
peugeot,3008,peugeot 3008,automatique,Gris,niveau 2,suv-4x4,1499,20993,5,5,8,7,130,diesel,2023,2 roues motrices,34700
peugeot,5008,peugeot 5008,automatique,Bleu,niveau 1,suv-4x4,1199,60317,7,5,8,7,130,essence,2021,2 roues motrices,27989
ds,ds 7,ds ds 7,automatique,Blanc,niveau 1,suv-4x4,1598,4050,5,5,8,10,180,hybride rechargeable,2021,2 roues motrices,46990
opel,movano,opel movano,automatique,Blanc,niveau 2,utilitaire,2299,34781,3,4,6,10,150,diesel,2021,2 roues motrices,25789
peugeot,2008,peugeot 2008,automatique,Noir,niveau 1,suv-4x4,1199,23006,5,5,6,6,130,essence,2019,2 roues motrices,19689
citroën,c5 aircross,citroën c5 aircross,automatique,Blanc,niveau 2,suv-4x4,1499,39858,5,5,8,6,131,diesel,2019,2 roues motrices,26489
peugeot,3008,peugeot 3008,automatique,Blanc,niveau 1,suv-4x4,1199,47154,5,5,6,7,130,essence,2018,2 roues motrices,19789
peugeot,208,peugeot 208,automatique,Gris,niveau 1,citadine,1199,14207,5,5,8,5,100,essence,2020,2 roues motrices,21689
peugeot,508,peugeot 508,automatique,Gris,niveau 1,berline,1598,30152,5,5,8,11,200,hybride rechargeable,2021,4 roues motrices,40589
peugeot,208,peugeot 208,manuelle,Gris,niveau 1,citadine,1199,16076,5,5,5,4,75,essence,2020,2 roues motrices,14489
peugeot,208,peugeot 208,manuelle,Blanc,niveau 1,citadine,1199,8636,5,5,5,4,75,essence,2020,2 roues motrices,14789
peugeot,208,peugeot 208,manuelle,Gris,niveau 1,citadine,1199,16946,5,5,5,4,75,essence,2020,2 roues motrices,14289
peugeot,208,peugeot 208,automatique,Gris,niveau 1,citadine,1199,12223,5,5,8,7,130,essence,2022,2 roues motrices,25250
peugeot,208,peugeot 208,manuelle,Gris,niveau 1,citadine,1199,23316,5,5,5,4,75,essence,2020,2 roues motrices,13589
citroën,c3,citroën c3,manuelle,Rouge,niveau 1,citadine,1199,16102,5,5,5,4,82,essence,2019,2 roues motrices,13289
opel,corsa,opel corsa,manuelle,Blanc,niveau 1,citadine,1199,16095,5,5,5,4,75,essence,2020,2 roues motrices,13289
peugeot,3008,peugeot 3008,automatique,Jaune,niveau 2,suv-4x4,1560,80206,5,5,6,6,120,diesel,2017,2 roues motrices,19589
peugeot,208,peugeot 208,manuelle,Jaune,niveau 1,citadine,1199,36000,5,5,6,5,100,essence,2019,2 roues motrices,18789
peugeot,208,peugeot 208,manuelle,Gris,niveau 1,citadine,1199,59749,5,5,5,4,75,essence,2021,2 roues motrices,15189
peugeot,208,peugeot 208,manuelle,Gris,niveau 1,citadine,1199,18570,5,5,5,4,75,essence,2021,2 roues motrices,15589
peugeot,208,peugeot 208,manuelle,Gris,niveau 1,citadine,1199,21986,5,5,5,4,75,essence,2021,2 roues motrices,14989
peugeot,208,peugeot 208,manuelle,Gris,niveau 1,citadine,1199,22904,5,5,5,4,75,essence,2020,2 roues motrices,14189
volkswagen,tiguan,volkswagen tiguan,manuelle,Gris,niveau 1,suv-4x4,1498,32428,5,5,6,8,150,essence,2020,2 roues motrices,28589
peugeot,208,peugeot 208,manuelle,Gris,niveau 1,citadine,1199,19427,5,5,5,4,75,essence,2022,2 roues motrices,16990
citroën,c5 aircross,citroën c5 aircross,automatique,Blanc,niveau 1,suv-4x4,1598,32249,5,5,8,10,181,hybride rechargeable,2021,2 roues motrices,28789
peugeot,2008,peugeot 2008,manuelle,Gris,niveau 2,suv-4x4,1499,20943,5,5,6,6,110,diesel,2022,2 roues motrices,24150
citroën,c3,citroën c3,manuelle,Gris,niveau 1,citadine,1199,12061,5,5,6,6,110,essence,2023,2 roues motrices,19990
peugeot,3008,peugeot 3008,manuelle,Gris,niveau 2,suv-4x4,1499,26000,5,5,6,7,130,diesel,2022,2 roues motrices,29490
citroën,c5 aircross,citroën c5 aircross,automatique,Bleu,niveau 2,suv-4x4,1499,11084,5,5,8,7,131,diesel,2023,2 roues motrices,33980
peugeot,208,peugeot 208,automatique,Gris,niveau 1,citadine,1199,5,5,5,8,7,130,essence,2023,2 roues motrices,28150
peugeot,208,peugeot 208,manuelle,Gris,niveau 1,citadine,1199,5,5,5,6,5,100,essence,2023,2 roues motrices,23300
ford,puma,ford puma,manuelle,Gris,niveau 1,suv-4x4,999,26427,5,5,6,6,125,essence,2022,2 roues motrices,20980
citroën,c3 aircross,citroën c3 aircross,manuelle,Gris,niveau 1,suv-4x4,1199,5,5,5,6,6,110,essence,2023,2 roues motrices,23700
opel,corsa,opel corsa,automatique,Orange,niveau 1,citadine,1199,51807,5,5,8,5,100,essence,2020,2 roues motrices,17990
citroën,c4,citroën c4,automatique,Gris,niveau 1,berline,1199,5,5,5,8,7,131,essence,2023,2 roues motrices,28350
peugeot,208,peugeot 208,manuelle,Gris,niveau 2,citadine,1499,11839,5,5,6,5,100,diesel,2022,2 roues motrices,21199
peugeot,2008,peugeot 2008,automatique,Rouge,niveau 2,suv-4x4,1499,78231,5,5,6,6,120,diesel,2019,2 roues motrices,17490
peugeot,2008,peugeot 2008,automatique,Gris,niveau 1,suv-4x4,1199,3625,5,5,8,7,130,essence,2023,2 roues motrices,28899
peugeot,2008,peugeot 2008,manuelle,Gris,niveau 2,suv-4x4,1499,22225,5,5,6,6,110,diesel,2022,2 roues motrices,27999
peugeot,3008,peugeot 3008,manuelle,Noir,niveau 2,suv-4x4,1499,16211,5,5,6,7,130,diesel,2022,2 roues motrices,32850
peugeot,3008,peugeot 3008,manuelle,Gris,niveau 1,suv-4x4,1199,16861,5,5,6,7,130,essence,2023,2 roues motrices,30700
citroën,c5 aircross,citroën c5 aircross,automatique,Blanc,niveau 1,suv-4x4,1199,5954,5,5,8,7,131,essence,2023,2 roues motrices,34750
peugeot,3008,peugeot 3008,manuelle,Gris,niveau 1,suv-4x4,1199,22101,5,5,6,7,130,essence,2023,2 roues motrices,30550
peugeot,3008,peugeot 3008,automatique,Gris,niveau 2,suv-4x4,1499,20993,5,5,8,7,130,diesel,2023,2 roues motrices,34700
ds,ds 3,ds ds 3,manuelle,Noir,niveau 1,citadine,1199,33946,5,2,5,5,110,essence,2018,2 roues motrices,15970
citroën,c3,citroën c3,manuelle,Blanc,niveau 1,citadine,1199,26500,5,5,5,4,82,essence,2018,2 roues motrices,13470
citroën,c3,citroën c3,manuelle,Gris,niveau 1,citadine,1199,17812,5,5,5,4,83,essence,2021,2 roues motrices,14990
peugeot,2008,peugeot 2008,manuelle,Gris,niveau 2,suv-4x4,1499,20943,5,5,6,6,110,diesel,2022,2 roues motrices,24150
ds,ds 3,ds ds 3,manuelle,Blanc,niveau 1,citadine,1199,39292,5,5,6,5,100,essence,2021,2 roues motrices,22990
peugeot,208,peugeot 208,automatique,Gris,niveau 1,citadine,1199,5,5,5,8,7,130,essence,2023,2 roues motrices,28150
peugeot,208,peugeot 208,manuelle,Gris,niveau 1,citadine,1199,5,5,5,6,5,100,essence,2023,2 roues motrices,23300
peugeot,208,peugeot 208,automatique,Gris,niveau 1,citadine,1199,5,5,5,8,7,130,essence,2023,2 roues motrices,28150
peugeot,208,peugeot 208,manuelle,Gris,niveau 1,citadine,1199,5,5,5,6,5,100,essence,2023,2 roues motrices,23300
citroën,c3 aircross,citroën c3 aircross,manuelle,Gris,niveau 1,suv-4x4,1199,5,5,5,6,6,110,essence,2023,2 roues motrices,23700
citroën,c3 aircross,citroën c3 aircross,manuelle,Gris,niveau 1,suv-4x4,1199,5,5,5,6,6,110,essence,2023,2 roues motrices,23700
peugeot,208,peugeot 208,manuelle,Gris,niveau 1,citadine,1199,22423,5,5,5,4,82,essence,2019,2 roues motrices,13490
peugeot,508,peugeot 508,automatique,Bleu,niveau 2,berline,1499,45046,5,5,8,7,130,diesel,2021,2 roues motrices,26990
citroën,c4,citroën c4,automatique,Gris,niveau 1,berline,1199,5,5,5,8,7,131,essence,2023,2 roues motrices,28350
citroën,c4,citroën c4,automatique,Gris,niveau 1,berline,1199,5,5,5,8,7,131,essence,2023,2 roues motrices,28350
citroën,c5 aircross,citroën c5 aircross,automatique,Gris,niveau 1,suv-4x4,1598,10707,5,5,8,10,181,hybride rechargeable,2022,2 roues motrices,36950
peugeot,508,peugeot 508,automatique,Noir,niveau 1,berline,1598,30588,5,5,8,11,200,hybride rechargeable,2021,4 roues motrices,43750
peugeot,3008,peugeot 3008,manuelle,Noir,niveau 2,suv-4x4,1499,16211,5,5,6,7,130,diesel,2022,2 roues motrices,32850
citroën,c1,citroën c1,manuelle,Gris,niveau 1,citadine,998,59026,4,5,5,4,72,essence,2018,2 roues motrices,9780
peugeot,3008,peugeot 3008,manuelle,Gris,niveau 1,suv-4x4,1199,16861,5,5,6,7,130,essence,2023,2 roues motrices,30700
peugeot,3008,peugeot 3008,manuelle,Noir,niveau 2,suv-4x4,1499,16211,5,5,6,7,130,diesel,2022,2 roues motrices,32850
peugeot,3008,peugeot 3008,manuelle,Gris,niveau 1,suv-4x4,1199,16861,5,5,6,7,130,essence,2023,2 roues motrices,30700
citroën,c3,citroën c3,manuelle,Gris,niveau 1,citadine,1199,59525,5,5,5,4,82,essence,2020,2 roues motrices,12780
citroën,c5 aircross,citroën c5 aircross,automatique,Blanc,niveau 1,suv-4x4,1199,5954,5,5,8,7,131,essence,2023,2 roues motrices,34750
citroën,c5 aircross,citroën c5 aircross,automatique,Blanc,niveau 1,suv-4x4,1199,5954,5,5,8,7,131,essence,2023,2 roues motrices,34750
peugeot,3008,peugeot 3008,manuelle,Gris,niveau 1,suv-4x4,1199,22101,5,5,6,7,130,essence,2023,2 roues motrices,30550
citroën,c4 cactus,citroën c4 cactus,manuelle,Bleu,niveau 2,berline,1499,92266,5,5,6,5,102,diesel,2019,2 roues motrices,13390
peugeot,3008,peugeot 3008,automatique,Gris,niveau 2,suv-4x4,1499,20993,5,5,8,7,130,diesel,2023,2 roues motrices,34700
peugeot,3008,peugeot 3008,manuelle,Gris,niveau 1,suv-4x4,1199,22101,5,5,6,7,130,essence,2023,2 roues motrices,30550
peugeot,3008,peugeot 3008,automatique,Gris,niveau 2,suv-4x4,1499,20993,5,5,8,7,130,diesel,2023,2 roues motrices,34700
peugeot,2008,peugeot 2008,manuelle,Gris,niveau 2,suv-4x4,1499,20943,5,5,6,6,110,diesel,2022,2 roues motrices,24150
ds,ds 7,ds ds 7,automatique,Gris,niveau 2,suv-4x4,1499,94642,5,5,8,7,130,diesel,2020,2 roues motrices,25789
peugeot,2008,peugeot 2008,manuelle,Gris,niveau 2,suv-4x4,1499,20943,5,5,6,6,110,diesel,2022,2 roues motrices,24150
peugeot,208,peugeot 208,manuelle,Blanc,niveau 1,citadine,1199,25084,5,5,5,4,75,essence,2020,2 roues motrices,13470
peugeot,2008,peugeot 2008,manuelle,Noir,niveau 2,suv-4x4,1560,94506,5,5,5,5,100,diesel,2016,2 roues motrices,12890
peugeot,208,peugeot 208,manuelle,Blanc,niveau 1,citadine,1199,39839,5,5,5,4,75,essence,2020,2 roues motrices,14290
citroën,c3,citroën c3,manuelle,Gris,niveau 2,citadine,1560,85729,5,5,5,4,75,diesel,2015,2 roues motrices,9290
renault,megane,renault megane,automatique,Gris,niveau 2,berline,1461,106199,5,5,7,6,115,diesel,2020,2 roues motrices,14890
opel,grandland,opel grandland,automatique,Bleu,niveau 1,suv-4x4,1598,27128,5,5,8,10,180,hybride rechargeable,2022,2 roues motrices,34970
opel,crossland,opel crossland,manuelle,Gris,niveau 1,suv-4x4,1199,40140,5,5,6,6,110,essence,2021,2 roues motrices,16690
citroën,c3,citroën c3,manuelle,Gris,niveau 1,citadine,1199,56557,5,5,6,6,110,essence,2021,2 roues motrices,15470
citroën,c3,citroën c3,manuelle,Gris,niveau 1,citadine,1199,52440,5,5,5,4,83,essence,2021,2 roues motrices,13870
peugeot,308,peugeot 308,automatique,Blanc,niveau 1,berline,1199,25062,5,5,8,6,130,essence,2020,2 roues motrices,19770
peugeot,3008,peugeot 3008,automatique,Rouge,niveau 1,suv-4x4,1598,81879,5,5,8,10,180,essence,2018,2 roues motrices,24970
peugeot,2008,peugeot 2008,automatique,Blanc,niveau 1,suv-4x4,1199,25670,5,5,8,7,130,essence,2020,2 roues motrices,22970
citroën,c4,citroën c4,manuelle,Gris,niveau 1,berline,1199,38476,7,5,6,7,130,essence,2020,2 roues motrices,22770
ford,puma,ford puma,manuelle,Blanc,niveau 1,suv-4x4,125,64550,5,5,6,6,125,hybride,2020,,18890
ds,ds 4,ds ds 4,automatique,Gris,niveau 2,berline,1499,3695,5,5,8,7,131,diesel,2023,2 roues motrices,38990
peugeot,2008,peugeot 2008,automatique,Rouge,niveau 2,suv-4x4,,6378,5,5,8,7,130,diesel,2023,,25990
peugeot,2008,peugeot 2008,automatique,Orange,niveau 1,suv-4x4,1199,41912,5,5,8,7,130,essence,2020,2 roues motrices,23190
peugeot,208,peugeot 208,manuelle,Gris,niveau 1,citadine,1199,44502,5,5,6,5,100,essence,2020,2 roues motrices,16490
peugeot,5008,peugeot 5008,automatique,Gris,niveau 1,suv-4x4,1598,64765,7,5,6,9,165,essence,2017,2 roues motrices,24990
peugeot,3008,peugeot 3008,manuelle,Gris,niveau 2,suv-4x4,1499,65687,5,5,6,6,130,diesel,2019,2 roues motrices,22090
citroën,c5 x,citroën c5 x,automatique,Blanc,niveau 1,berline,1598,500,5,5,8,10,180,hybride rechargeable,2023,2 roues motrices,50499
peugeot,2008,peugeot 2008,automatique,Blanc,niveau 2,suv-4x4,1499,77063,5,5,6,6,120,diesel,2018,2 roues motrices,19990
peugeot,3008,peugeot 3008,automatique,Gris,niveau 2,suv-4x4,1499,5102,5,5,8,7,131,diesel,2023,2 roues motrices,35990
peugeot,2008,peugeot 2008,manuelle,Orange,niveau 1,suv-4x4,1199,7524,5,5,6,5,102,essence,2023,2 roues motrices,22978
peugeot,2008,peugeot 2008,manuelle,Orange,niveau 1,suv-4x4,1199,37908,5,5,6,6,131,essence,2020,2 roues motrices,19989
ds,ds 3,ds ds 3,manuelle,Gris,niveau 1,citadine,1199,99157,5,5,6,5,102,essence,2019,2 roues motrices,15979
fiat,500,fiat 500,manuelle,Gris,niveau 1,citadine,1242,49672,4,3,5,4,69,essence,2019,2 roues motrices,12580
peugeot,208,peugeot 208,manuelle,Jaune,niveau 1,citadine,1199,40598,5,5,6,5,102,essence,2021,2 roues motrices,16778
peugeot,expert,peugeot expert,automatique,Gris,niveau 2,utilitaire,1997,8,6,4,8,7,146,diesel,2022,2 roues motrices,44980
peugeot,308,peugeot 308,manuelle,Blanc,niveau 1,berline,1199,27510,5,5,6,6,110,essence,2021,2 roues motrices,18280
peugeot,508 sw,peugeot 508 sw,automatique,Bleu,niveau 1,break,1199,42730,5,5,8,7,131,essence,2021,2 roues motrices,29979
citroën,c3,citroën c3,manuelle,Bleu,niveau 2,citadine,1499,66310,5,5,6,5,102,diesel,2022,2 roues motrices,13489
citroën,c3,citroën c3,manuelle,Gris,niveau 2,citadine,1499,60810,5,5,5,5,102,diesel,2019,2 roues motrices,13980
citroën,c5 x,citroën c5 x,automatique,Blanc,niveau 1,berline,1199,21419,5,5,8,7,131,essence,2022,2 roues motrices,27980
citroën,c4 x,citroën c4 x,automatique,Blanc,niveau 0,berline,0,4510,5,4,0,4,136,electrique,2023,2 roues motrices,37980
citroën,c5 aircross,citroën c5 aircross,automatique,Gris,niveau 1,suv-4x4,1598,78100,5,5,8,10,181,essence,2019,,23889
renault,megane,renault megane,manuelle,Gris,niveau 2,berline,1461,47313,5,5,6,6,115,diesel,2020,2 roues motrices,19990
citroën,c5 aircross,citroën c5 aircross,automatique,Gris,niveau 2,suv-4x4,1997,55810,5,5,8,9,178,diesel,2019,,26580
citroën,c3,citroën c3,manuelle,Sable,niveau 2,citadine,1499,46250,5,5,6,5,102,diesel,2022,2 roues motrices,13980
peugeot,208,peugeot 208,manuelle,Jaune,niveau 2,citadine,1499,78458,5,5,6,5,102,diesel,2020,2 roues motrices,15480
peugeot,3008,peugeot 3008,manuelle,Blanc,niveau 1,suv-4x4,1199,29607,5,5,6,7,131,essence,2018,2 roues motrices,22980
peugeot,308,peugeot 308,manuelle,Gris,niveau 1,berline,1199,58744,5,5,6,6,110,essence,2018,2 roues motrices,15990
peugeot,208,peugeot 208,automatique,Jaune,niveau 0,citadine,0,26720,5,5,0,4,,electrique,2020,2 roues motrices,22999
citroën,c3 aircross,citroën c3 aircross,manuelle,Gris,niveau 2,suv-4x4,1499,11434,5,5,6,6,110,diesel,2022,2 roues motrices,20990
citroën,c5 aircross,citroën c5 aircross,automatique,Blanc,niveau 2,suv-4x4,1499,49568,5,5,8,6,131,diesel,2019,,24890
ds,ds 4,ds ds 4,automatique,Noir,niveau 2,berline,1499,1865,5,5,8,7,131,diesel,2023,2 roues motrices,39990
citroën,c3,citroën c3,manuelle,Sable,niveau 1,citadine,1199,13249,5,5,5,4,83,essence,2023,2 roues motrices,16990
citroën,c3,citroën c3,manuelle,Gris,niveau 1,citadine,1199,20323,5,5,5,4,83,essence,2023,2 roues motrices,16490
citroën,c3 aircross,citroën c3 aircross,automatique,Gris,niveau 1,suv-4x4,1199,22050,5,5,6,6,131,essence,2019,2 roues motrices,19580
dacia,sandero,dacia sandero,manuelle,Bleu,niveau 2,citadine,1461,47622,5,5,5,5,95,diesel,2019,2 roues motrices,11990
peugeot,2008,peugeot 2008,manuelle,Orange,niveau 1,suv-4x4,1199,10649,5,5,6,5,100,essence,2022,2 roues motrices,22990
peugeot,208,peugeot 208,manuelle,Noir,niveau 1,citadine,1199,32853,5,5,6,5,100,essence,2020,2 roues motrices,19190
alfa romeo,mito,alfa romeo mito,automatique,Noir,niveau 1,citadine,1368,71350,4,3,6,7,140,essence,2017,2 roues motrices,13490
ds,ds 3,ds ds 3,automatique,Gris,niveau 1,citadine,1199,19475,5,5,8,7,130,essence,2022,2 roues motrices,32789
skoda,fabia,skoda fabia,manuelle,Brun,niveau 1,citadine,999,31592,5,5,5,5,95,essence,2018,2 roues motrices,13980
citroën,c3,citroën c3,automatique,Blanc,niveau 1,citadine,1199,50639,5,5,6,6,110,essence,2021,2 roues motrices,16980
peugeot,208,peugeot 208,manuelle,Blanc,niveau 1,citadine,1199,53336,5,5,5,4,82,essence,2019,2 roues motrices,12990
citroën,c4 cactus,citroën c4 cactus,manuelle,Noir,niveau 1,berline,1199,86198,5,5,6,6,110,essence,2020,2 roues motrices,12980
peugeot,2008,peugeot 2008,manuelle,Rouge,niveau 1,suv-4x4,1199,41362,5,5,6,7,130,essence,2020,2 roues motrices,20990
peugeot,rifter,peugeot rifter,manuelle,Gris,niveau 2,familiale,1499,24116,5,5,6,5,100,diesel,2022,2 roues motrices,25990
peugeot,308,peugeot 308,manuelle,Noir,niveau 1,berline,1199,21188,5,5,6,6,110,essence,2021,2 roues motrices,18789
peugeot,2008,peugeot 2008,automatique,Gris,niveau 1,suv-4x4,1199,3540,5,5,8,7,130,essence,2023,2 roues motrices,28490
peugeot,3008,peugeot 3008,automatique,Gris,niveau 2,suv-4x4,1499,3741,5,5,8,7,130,diesel,2023,2 roues motrices,36490
peugeot,208,peugeot 208,manuelle,Gris,niveau 1,citadine,1199,26777,5,5,6,5,100,essence,2022,2 roues motrices,20990
peugeot,2008,peugeot 2008,manuelle,Gris,niveau 1,suv-4x4,1199,10431,5,5,6,7,130,essence,2022,2 roues motrices,26490
peugeot,308,peugeot 308,automatique,Rouge,niveau 2,berline,1499,36538,5,5,8,7,130,diesel,2021,2 roues motrices,21990
ds,ds 7,ds ds 7,automatique,Gris,niveau 2,suv-4x4,1997,50745,5,5,8,9,180,diesel,2020,2 roues motrices,37990
peugeot,2008,peugeot 2008,automatique,Rouge,niveau 1,suv-4x4,1199,16550,5,5,8,7,130,essence,2022,2 roues motrices,27489
peugeot,308,peugeot 308,manuelle,Gris,niveau 2,berline,1499,22852,5,5,6,7,130,diesel,2022,2 roues motrices,26890
kia,sportage,kia sportage,automatique,Bleu,niveau 2,suv-4x4,1598,135137,5,5,7,7,136,diesel,2019,2 roues motrices,19980
peugeot,208,peugeot 208,manuelle,Gris,niveau 1,citadine,1199,4173,5,5,6,5,100,essence,2020,2 roues motrices,18290
peugeot,208,peugeot 208,manuelle,Jaune,niveau 1,citadine,1199,20500,5,5,6,5,100,essence,2022,2 roues motrices,18890
peugeot,208,peugeot 208,manuelle,Bleu,niveau 1,citadine,1199,13627,5,5,6,5,100,essence,2022,2 roues motrices,20100
citroën,c3 aircross,citroën c3 aircross,automatique,Blanc,niveau 1,suv-4x4,1199,44652,5,5,6,6,110,essence,2018,2 roues motrices,16990
peugeot,208,peugeot 208,manuelle,Blanc,niveau 1,citadine,1199,35600,5,5,5,4,82,essence,2018,2 roues motrices,12490
citroën,c3,citroën c3,manuelle,Gris,niveau 1,citadine,1199,53405,5,5,5,4,82,essence,2019,2 roues motrices,12880
peugeot,3008,peugeot 3008,automatique,Noir,niveau 1,suv-4x4,1199,18411,5,5,8,7,130,essence,2023,2 roues motrices,36300
citroën,c5 aircross,citroën c5 aircross,automatique,Gris,niveau 2,suv-4x4,1499,34795,5,5,8,7,131,diesel,2021,2 roues motrices,26990
ds,ds 7,ds ds 7,automatique,Gris,niveau 1,suv-4x4,1598,46131,5,5,8,9,180,essence,2019,2 roues motrices,30780
citroën,c5 aircross,citroën c5 aircross,automatique,Noir,niveau 1,suv-4x4,1199,1916,5,5,8,7,131,essence,2023,2 roues motrices,33600
citroën,c3,citroën c3,manuelle,Gris,niveau 2,citadine,1499,71211,5,5,5,5,102,diesel,2021,2 roues motrices,13689
peugeot,3008,peugeot 3008,manuelle,Brun,niveau 2,suv-4x4,1499,26373,5,5,6,7,130,diesel,2020,2 roues motrices,24289
peugeot,208,peugeot 208,manuelle,Blanc,niveau 1,citadine,1199,34737,5,5,5,4,75,essence,2020,2 roues motrices,16089
peugeot,208,peugeot 208,manuelle,Gris,niveau 1,citadine,1199,25773,5,5,5,4,75,essence,2020,2 roues motrices,16289
peugeot,208,peugeot 208,manuelle,Noir,niveau 1,citadine,1199,23924,5,5,5,4,75,essence,2020,2 roues motrices,16289
fiat,500,fiat 500,automatique,Blanc,niveau 0,citadine,0,9903,4,3,1,3,95,electrique,2021,2 roues motrices,18789
peugeot,208,peugeot 208,manuelle,Blanc,niveau 2,utilitaire,1499,69460,2,5,5,5,100,diesel,2020,2 roues motrices,11389
citroën,c4,citroën c4,automatique,Rouge,niveau 2,berline,1499,9901,5,5,8,7,131,diesel,2021,2 roues motrices,28289
peugeot,3008,peugeot 3008,automatique,Gris,niveau 1,suv-4x4,1598,21171,5,5,8,10,180,hybride rechargeable,2022,2 roues motrices,34689
citroën,c5 aircross,citroën c5 aircross,automatique,Gris,niveau 1,suv-4x4,1199,40765,5,5,8,7,131,essence,2021,2 roues motrices,27690
opel,mokka,opel mokka,automatique,Vert,niveau 0,suv-4x4,0,21376,5,5,1,4,136,electrique,2022,2 roues motrices,33489
peugeot,208,peugeot 208,automatique,Noir,niveau 0,citadine,0,22697,5,5,1,4,136,electrique,2020,2 roues motrices,19970
citroën,c3 aircross,citroën c3 aircross,manuelle,Gris,niveau 1,suv-4x4,1199,19409,5,5,6,6,110,essence,2023,2 roues motrices,21790
fiat,500x,fiat 500x,automatique,Gris,niveau 1,suv-4x4,1368,77123,5,5,6,7,140,essence,2018,2 roues motrices,15290
peugeot,2008,peugeot 2008,manuelle,Gris,niveau 1,suv-4x4,1199,54759,5,5,5,5,110,essence,2018,2 roues motrices,14790
peugeot,208,peugeot 208,automatique,Gris,niveau 1,citadine,1199,21474,5,5,8,7,130,essence,2022,2 roues motrices,22990
renault,clio,renault clio,automatique,Rouge,niveau 1,citadine,1333,37338,5,5,7,7,130,essence,2019,2 roues motrices,17970
peugeot,308,peugeot 308,automatique,Bleu,niveau 2,berline,1499,1952,5,5,8,7,130,diesel,2023,2 roues motrices,30970
